week_number,weekly_max_temperature,weekly_min_temperature,weekly_avg_temperature,weekly_max_irradiance,weekly_min_irradiance,weekly_avg_irradiance,weekly_max_cloud_cover,weekly_min_cloud_cover,weekly_avg_cloud_cover
1,18.3,6.4,12.89,659.0,0.0,133.51,100,0,66.17
2,20.8,7.2,12.67,705.0,0.0,167.12,100,0,31.06
3,19.8,6.8,12.89,780.0,0.0,172.11,100,0,52.96
4,24.6,5.9,14.35,802.0,0.0,217.85,100,0,11.04
5,24.2,5.9,13.47,836.0,0.0,217.92,100,0,14.65
6,19.5,6.8,12.65,831.0,0.0,202.87,100,0,53.64
7,16.2,5.7,11.1,875.0,0.0,206.2,100,0,45.32
8,18.4,7.5,12.98,912.0,0.0,237.92,100,0,35.13
9,28.6,7.3,16.42,957.0,0.0,273.1,100,0,17.12
10,21.9,11.7,16.05,936.0,0.0,276.72,100,0,53.85
11,20.0,11.5,15.14,960.0,0.0,246.89,100,0,72.77
12,28.1,11.9,16.4,999.0,0.0,261.77,100,0,49.69
13,25.5,9.8,15.4,1003.0,0.0,260.05,100,0,44.93
14,25.0,13.2,17.11,1003.0,0.0,281.46,100,0,59.89
15,20.2,12.5,16.53,989.0,0.0,290.13,100,0,44.93
16,20.4,13.9,16.75,978.0,0.0,234.17,100,0,79.1
17,23.5,10.7,16.71,1024.0,0.0,325.43,100,0,34.35
18,21.5,13.6,17.14,1008.0,0.0,309.1,100,0,49.68
19,22.5,13.4,17.56,1031.0,0.0,297.27,100,0,57.03
20,27.6,13.1,19.44,1018.0,0.0,327.43,100,0,36.54
21,23.0,16.2,19.66,995.0,0.0,300.95,100,0,37.18
22,23.7,16.5,19.71,1000.0,0.0,314.75,100,0,36.43
23,23.4,16.9,20.21,997.0,0.0,305.01,100,0,35.61
24,24.9,17.5,21.34,958.0,0.0,319.71,100,0,11.04
25,26.6,18.3,22.34,961.0,0.0,305.5,100,0,39.18
26,26.1,18.5,21.69,960.0,0.0,260.9,100,0,56.03
27,26.8,16.6,21.34,977.0,0.0,318.78,100,0,25.55
28,27.1,16.4,21.24,969.0,0.0,298.51,100,0,23.53
29,26.5,19.1,22.48,937.0,0.0,249.27,100,0,35.78
30,28.5,16.3,21.46,928.0,0.0,227.87,100,0,46.24
31,27.0,18.7,21.88,930.0,0.0,254.32,100,0,53.42
32,27.9,18.0,22.41,909.0,0.0,259.11,100,0,35.43
33,29.0,15.4,21.61,891.0,0.0,261.35,100,0,19.24
34,28.4,14.8,20.64,880.0,0.0,251.3,100,0,18.1
35,25.0,14.1,19.84,843.0,0.0,202.33,100,0,56.06
36,29.8,14.8,21.14,851.0,0.0,174.77,100,0,64.58
37,23.1,8.6,16.66,788.0,0.0,186.6,100,0,23.55
38,28.0,9.2,17.09,717.0,0.0,181.95,100,0,19.5
39,27.3,10.6,17.27,663.0,0.0,148.03,100,0,43.55
40,23.8,12.1,17.16,663.0,0.0,156.54,100,0,53.74
41,30.1,10.6,16.88,644.0,0.0,163.68,100,0,34.6
42,30.0,10.4,18.12,647.0,0.0,158.54,100,0,34.3
43,26.8,9.2,16.91,626.0,0.0,141.72,100,0,53.65
44,25.0,8.3,15.77,617.0,0.0,150.65,100,0,15.93
45,18.7,8.2,14.23,567.0,0.0,104.96,100,0,60.63
46,17.0,4.6,11.48,582.0,0.0,101.98,100,0,44.3
47,17.4,5.4,12.44,594.0,0.0,119.04,100,0,58.48
48,15.6,7.4,12.02,549.0,0.0,80.36,100,1,79.65
49,17.4,5.3,11.39,592.0,0.0,138.83,100,0,21.07
50,21.4,7.0,13.89,602.0,0.0,123.95,100,0,73.62
51,19.8,8.1,14.91,626.0,0.0,126.25,100,0,63.61
52,21.0,5.8,12.84,662.0,0.0,166.52,100,0,18.08
53,19.8,4.3,12.46,692.0,0.0,151.95,100,0,39.17
54,30.3,4.6,15.12,729.0,0.0,195.32,100,0,3.78
55,28.5,6.3,15.63,756.0,0.0,187.26,100,0,16.74
56,20.4,3.8,12.04,800.0,0.0,184.04,100,0,46.11
57,23.9,2.8,13.19,828.0,0.0,224.4,100,0,35.99
58,18.9,5.8,12.72,847.0,0.0,208.98,100,0,30.2
59,23.9,6.4,14.68,869.0,0.0,252.89,100,0,21.62
60,28.4,9.6,16.61,896.0,0.0,256.33,100,0,32.7
61,22.0,10.8,15.29,900.0,0.0,214.55,100,0,72.08
62,31.6,11.6,16.95,954.0,0.0,229.4,100,0,48.48
63,33.0,8.4,17.02,975.0,0.0,291.47,100,0,35.79
64,20.2,10.6,15.86,970.0,0.0,293.05,100,0,39.15
65,26.6,10.6,16.6,1008.0,0.0,300.71,100,0,38.88
66,21.0,11.4,16.21,992.0,0.0,295.65,100,0,34.0
67,23.8,9.9,16.39,1023.0,0.0,297.52,100,0,45.75
68,25.9,13.0,17.72,1010.0,0.0,304.38,100,0,45.42
69,20.1,13.4,16.89,981.0,0.0,276.54,100,0,53.3
70,21.2,13.9,17.56,1003.0,0.0,295.6,100,0,51.79
71,22.4,14.3,18.66,986.0,0.0,294.68,100,0,57.18
72,22.5,15.5,19.21,997.0,0.0,319.8,100,0,35.58
73,27.6,13.9,20.15,1009.0,0.0,331.67,100,0,18.46
74,26.1,16.5,21.26,1018.0,0.0,334.25,100,0,20.24
75,24.0,16.8,20.51,990.0,0.0,310.38,100,0,37.65
76,24.5,17.4,20.56,994.0,0.0,313.73,100,0,40.7
77,25.4,17.8,21.27,957.0,0.0,307.89,100,0,38.58
78,24.4,17.2,21.06,952.0,0.0,298.54,100,0,53.37
79,26.0,18.5,22.11,926.0,0.0,270.75,100,0,62.76
80,28.6,19.0,23.48,950.0,0.0,303.79,100,0,29.12
81,27.2,19.4,23.45,928.0,0.0,295.64,100,0,18.18
82,25.4,19.1,22.12,913.0,0.0,265.92,100,0,27.97
83,29.8,19.8,23.29,900.0,0.0,270.53,100,0,26.88
84,35.6,20.4,26.62,883.0,0.0,235.47,100,0,34.74
85,31.0,17.5,23.21,854.0,0.0,172.39,100,0,63.92
86,25.8,16.1,20.6,850.0,0.0,235.8,100,0,32.35
87,27.7,18.3,22.72,798.0,0.0,225.9,100,0,33.16
88,24.1,15.6,20.44,770.0,0.0,182.11,100,0,42.18
89,25.0,16.3,20.9,688.0,0.0,163.05,100,0,57.22
90,32.3,15.4,20.84,677.0,0.0,146.49,100,0,44.03
91,23.4,10.1,17.86,681.0,0.0,156.18,100,0,32.62
92,24.3,9.4,16.96,669.0,0.0,161.68,100,0,43.17
93,20.5,7.2,14.54,661.0,0.0,138.61,100,0,43.38
94,23.2,6.3,13.49,665.0,0.0,161.96,100,0,32.82
95,25.1,6.2,14.5,639.0,0.0,162.68,100,0,20.55
96,22.6,7.8,13.79,629.0,0.0,121.86,100,0,45.72
97,21.0,5.6,13.88,582.0,0.0,129.67,100,0,61.3
98,16.6,4.2,10.66,576.0,0.0,114.3,100,0,35.96
99,18.4,4.3,11.39,584.0,0.0,138.71,100,0,43.4
100,23.5,6.5,14.41,564.0,0.0,121.67,100,0,49.91
101,16.9,9.4,13.89,422.0,0.0,66.07,100,7,86.95
102,18.4,5.8,12.46,584.0,0.0,123.18,100,0,74.85
103,17.6,4.6,11.66,599.0,0.0,102.99,100,0,73.15
104,18.5,3.5,10.7,662.0,0.0,165.1,100,0,7.69
105,16.7,4.3,11.06,680.0,0.0,141.99,100,0,51.14
106,24.0,5.4,12.5,706.0,0.0,178.65,100,0,25.54
107,21.2,3.2,11.35,762.0,0.0,175.3,100,0,53.4
108,18.0,5.1,11.23,740.0,0.0,173.47,100,0,52.27
109,14.3,4.0,10.1,807.0,0.0,152.35,100,0,53.61
110,15.5,4.9,10.26,817.0,0.0,193.57,100,0,54.54
111,17.1,8.6,13.39,820.0,0.0,127.78,100,0,88.12
112,21.0,7.2,13.26,877.0,0.0,180.82,100,0,65.74
113,18.6,6.5,11.73,913.0,0.0,230.3,100,0,34.19
114,18.5,5.9,11.57,959.0,0.0,262.18,100,0,37.75
115,17.1,9.4,13.57,941.0,0.0,229.04,100,0,70.61
116,22.3,9.4,14.05,973.0,0.0,251.96,100,0,49.79
117,26.2,11.3,16.91,979.0,0.0,297.92,100,0,40.2
118,19.3,10.9,15.31,982.0,0.0,253.86,100,0,71.15
119,19.5,10.2,15.54,977.0,0.0,285.8,100,0,46.75
120,20.4,13.8,17.24,983.0,0.0,278.99,100,0,60.61
121,20.5,13.3,17.14,961.0,0.0,236.75,100,1,77.61
122,20.0,14.1,16.73,869.0,0.0,202.61,100,7,86.58
123,21.0,14.6,17.5,964.0,0.0,258.89,100,0,72.92
124,21.0,15.5,17.8,944.0,0.0,208.11,100,0,88.92
125,22.8,13.7,18.4,1004.0,0.0,303.74,100,0,42.29
126,21.6,13.4,17.8,1003.0,0.0,325.02,100,0,26.22
127,22.9,14.6,19.12,1015.0,0.0,324.48,100,0,33.74
128,27.1,14.4,19.81,1001.0,0.0,312.43,100,0,30.6
129,26.0,17.1,21.41,977.0,0.0,317.93,100,0,30.32
130,28.0,17.5,21.84,956.0,0.0,285.35,100,0,35.65
131,26.5,17.7,22.24,992.0,0.0,278.69,100,0,36.94
132,26.4,16.8,21.66,983.0,0.0,285.59,100,0,37.07
133,28.3,18.8,22.38,937.0,0.0,290.65,100,0,33.23
134,25.0,16.6,20.53,936.0,0.0,222.76,100,0,56.61
135,29.1,16.5,21.86,924.0,0.0,283.03,100,0,29.73
136,24.4,15.8,20.76,909.0,0.0,222.24,100,0,51.41
137,29.4,15.6,22.51,868.0,0.0,237.26,100,0,46.4
138,23.6,14.8,20.26,844.0,0.0,189.93,100,0,66.72
139,24.5,14.2,19.49,826.0,0.0,202.93,100,0,51.35
140,29.1,13.1,19.21,770.0,0.0,195.57,100,0,27.49
141,29.0,15.1,20.71,768.0,0.0,191.8,100,0,32.85
142,27.1,13.6,19.76,702.0,0.0,185.09,100,0,28.37
143,27.0,12.9,18.99,675.0,0.0,154.1,100,0,35.77
144,28.2,9.4,18.06,703.0,0.0,181.4,100,0,13.09
145,25.2,9.2,17.24,687.0,0.0,171.48,100,0,14.72
146,25.2,7.2,16.82,672.0,0.0,146.11,100,0,47.6
147,24.1,9.6,16.41,635.0,0.0,149.33,100,0,40.02
148,20.6,7.3,14.11,602.0,0.0,129.18,100,0,53.58
149,23.3,7.1,14.06,589.0,0.0,141.14,100,0,26.34
150,22.0,6.0,13.95,595.0,0.0,144.73,100,0,29.28
151,23.9,7.5,16.09,581.0,0.0,121.11,100,0,76.25
152,18.0,7.9,13.54,562.0,0.0,123.27,100,0,52.9
153,17.4,6.3,12.56,575.0,0.0,106.01,100,0,51.24
154,17.8,2.8,10.49,598.0,0.0,143.97,100,0,23.02
155,18.4,4.0,11.96,603.0,0.0,148.01,100,0,36.88
156,17.6,9.6,13.99,563.0,0.0,91.73,100,1,82.97
157,22.6,7.7,13.92,657.0,0.0,148.99,100,0,56.52
158,16.7,8.1,12.31,644.0,0.0,125.54,100,0,66.86
159,17.0,4.6,11.15,724.0,0.0,184.79,100,0,19.54
160,17.9,8.4,13.46,757.0,0.0,145.34,100,0,72.24
161,20.6,8.4,14.35,751.0,0.0,159.55,100,0,75.54
162,17.5,9.1,13.82,812.0,0.0,189.95,100,0,53.31
163,19.2,7.8,13.46,836.0,0.0,210.44,100,0,52.6
164,20.3,7.2,13.73,865.0,0.0,241.42,100,0,28.62
165,19.1,6.7,13.27,898.0,0.0,229.4,100,0,58.7
166,19.1,8.1,13.24,937.0,0.0,221.55,100,0,46.65
167,22.4,6.4,13.53,970.0,0.0,285.35,100,0,17.71
168,21.5,8.7,15.03,976.0,0.0,251.25,100,0,46.85
169,19.5,11.6,16.0,942.0,0.0,248.8,100,0,68.75
170,20.2,10.9,15.77,979.0,0.0,280.74,100,0,31.04
171,20.1,9.6,15.76,995.0,0.0,299.31,100,0,30.95
172,21.0,12.1,16.88,991.0,0.0,287.35,100,0,58.01
173,20.4,11.5,16.7,1002.0,0.0,297.23,100,0,46.95
174,20.0,13.6,16.76,997.0,0.0,285.08,100,0,61.71
175,21.5,13.1,17.49,989.0,0.0,293.33,100,0,65.01
176,22.3,14.0,18.39,1001.0,0.0,297.64,100,0,57.8
177,24.4,14.1,18.45,1003.0,0.0,329.76,100,0,23.68
178,26.3,15.9,20.88,991.0,0.0,317.88,100,0,18.92
179,24.8,14.6,20.41,996.0,0.0,324.02,100,0,29.98
180,24.5,16.8,21.06,975.0,0.0,314.14,100,0,32.9
181,24.3,18.4,21.26,953.0,0.0,292.08,100,0,39.85
182,27.2,17.8,22.31,950.0,0.0,311.07,100,0,18.27
183,26.6,15.7,21.04,981.0,0.0,308.99,100,0,22.51
184,26.8,17.5,22.0,942.0,0.0,305.77,100,0,29.29
185,27.5,17.5,22.45,962.0,0.0,293.91,100,0,31.98
186,29.0,16.6,22.04,950.0,0.0,287.74,100,0,26.13
187,26.4,15.8,21.18,951.0,0.0,292.54,100,0,23.82
188,32.8,16.9,22.36,897.0,0.0,266.32,100,0,14.73
189,34.2,16.1,24.1,908.0,0.0,265.26,100,0,15.95
190,23.9,14.6,19.54,879.0,0.0,217.6,100,0,40.58
191,24.8,16.2,20.14,826.0,0.0,219.84,100,0,44.93
192,26.7,14.1,19.86,814.0,0.0,220.2,100,0,27.63
193,26.7,14.3,19.86,742.0,0.0,200.15,100,0,36.36
194,26.3,12.9,18.52,728.0,0.0,163.58,100,0,44.43
195,28.1,11.2,19.2,688.0,0.0,185.71,100,0,20.28
196,23.9,9.6,17.09,679.0,0.0,163.07,100,0,47.37
197,24.5,8.4,15.66,669.0,0.0,168.9,100,0,23.96
198,22.4,7.2,15.41,670.0,0.0,171.23,100,0,16.31
199,22.0,6.8,13.71,647.0,0.0,161.52,100,0,13.28
200,22.6,6.6,15.32,639.0,0.0,136.64,100,0,63.2
201,22.2,8.2,14.9,595.0,0.0,134.73,100,0,40.34
202,23.6,7.2,14.3,613.0,0.0,139.71,100,0,35.14
203,21.5,7.2,13.67,567.0,0.0,138.38,100,0,33.49
204,18.2,7.4,13.14,575.0,0.0,122.61,100,0,64.9
205,21.2,6.1,12.73,593.0,0.0,123.83,100,0,55.34
206,22.0,7.7,14.44,611.0,0.0,146.68,100,0,36.84
207,21.3,4.6,12.91,623.0,0.0,154.47,100,0,4.82
208,23.8,5.8,13.59,666.0,0.0,160.01,100,0,35.42
209,20.5,5.1,11.57,667.0,0.0,141.26,100,0,47.65
210,20.6,5.2,13.77,669.0,0.0,164.45,100,0,52.93
211,19.5,9.1,13.53,678.0,0.0,115.74,100,0,87.04
212,20.2,8.1,13.61,763.0,0.0,196.91,100,0,54.19
213,29.4,9.1,16.26,796.0,0.0,219.87,100,0,17.64
214,20.0,7.9,13.65,803.0,0.0,184.48,100,0,58.36
215,19.9,6.8,12.61,859.0,0.0,197.96,100,0,41.0
216,21.2,7.2,12.91,891.0,0.0,223.88,100,0,41.23
217,22.1,8.2,15.16,892.0,0.0,243.49,100,0,37.68
218,18.3,9.1,14.24,892.0,0.0,222.56,100,0,61.38
219,22.9,7.8,15.2,960.0,0.0,295.38,100,0,18.74
220,21.9,10.1,15.25,953.0,0.0,261.91,100,0,52.51
221,20.5,10.4,15.31,980.0,0.0,284.38,100,0,46.07
222,20.1,11.4,15.38,971.0,0.0,251.54,100,0,51.52
223,22.0,12.2,15.94,979.0,0.0,235.19,100,0,63.6
224,29.6,13.2,18.6,994.0,0.0,304.2,100,0,50.26
225,25.0,12.7,17.42,1009.0,0.0,288.54,100,0,38.01
226,20.8,12.8,17.38,999.0,0.0,289.68,100,0,58.77
227,25.3,15.9,19.31,991.0,0.0,238.86,100,0,83.53
228,22.0,14.5,18.59,983.0,0.0,278.27,100,0,62.06
229,25.8,13.6,19.29,1018.0,0.0,329.93,100,0,33.45
230,22.2,13.4,18.37,1005.0,0.0,317.25,100,0,36.96
231,24.2,14.9,19.56,1000.0,0.0,321.68,100,0,26.68
232,25.7,15.2,20.28,1004.0,0.0,328.22,100,0,18.76
233,23.9,16.2,19.94,960.0,0.0,305.94,100,0,30.35
234,24.2,16.5,20.41,982.0,0.0,290.18,100,0,60.61
235,23.9,15.1,19.96,981.0,0.0,312.01,100,0,31.1
236,28.1,15.0,20.5,986.0,0.0,310.07,100,0,17.86
237,25.4,16.8,20.84,943.0,0.0,287.32,100,0,27.99
238,27.2,15.9,20.89,955.0,0.0,292.01,100,0,34.95
